"field","unit"
"time","iso8601"
"temperature_2m","°C"
"relative_humidity_2m","%"
"dew_point_2m","°C"
"apparent_temperature","°C"
"precipitation","mm"
"rain","mm"
"snowfall","cm"
"snow_depth","m"
"weather_code","wmo code"
"pressure_msl","hPa"
"surface_pressure","hPa"
"cloud_cover","%"
"cloud_cover_low","%"
"cloud_cover_mid","%"
"cloud_cover_high","%"
"et0_fao_evapotranspiration","mm"
"vapour_pressure_deficit","kPa"
"wind_speed_10m","km/h"
"wind_speed_100m","km/h"
"wind_direction_10m","°"
"wind_direction_100m","°"
"wind_gusts_10m","km/h"
"soil_temperature_0_to_7cm","°C"
"soil_temperature_7_to_28cm","°C"
"soil_temperature_28_to_100cm","°C"
"soil_temperature_100_to_255cm","°C"
"soil_moisture_0_to_7cm","m³/m³"
"soil_moisture_7_to_28cm","m³/m³"
"soil_moisture_28_to_100cm","m³/m³"
"soil_moisture_100_to_255cm","m³/m³"
"shortwave_radiation","W/m²"
"direct_radiation","W/m²"
"diffuse_radiation","W/m²"
"direct_normal_irradiance","W/m²"
"global_tilted_irradiance","W/m²"
"terrestrial_radiation","W/m²"
"shortwave_radiation_instant","W/m²"
"direct_radiation_instant","W/m²"
"diffuse_radiation_instant","W/m²"
"direct_normal_irradiance_instant","W/m²"
"global_tilted_irradiance_instant","W/m²"
"terrestrial_radiation_instant","W/m²"
